country_code,year,gdp_current_usd,gni_current_usd,gdp_per_capita_usd,population_total
AFG,2004,5224896718.67782,5291642598.0037,221.763653873013,23560654
AFG,2005,6203256538.70967,6280264337.36715,254.184249149336,24404567
AFG,2006,6971758282.29351,7100373840.59309,274.218553561575,25424094
AFG,2007,9747886187.39393,9877773213.94871,376.223152003876,25909852
AFG,2008,10109297047.5432,10107195992.8587,381.73323802844,26482622
AFG,2009,12416152732.0567,12378340930.5187,452.053705477043,27466101
AFG,2010,15856668555.8336,15885775064.3022,560.621505463146,28284089
AFG,2011,17805098206.3141,17781511431.23,606.694676337726,29347708
AFG,2012,19907329777.5872,19961261595.0253,651.417134470046,30560034
AFG,2013,20146416757.5987,20209353657.8054,637.087099117099,31622704
AFG,2014,20497128555.6972,20559672324.9094,625.054941813938,32792523
AFG,2015,19134221644.7325,19249499438.7455,565.569730408751,33831764
AFG,2016,18116572395.0772,18350475875.2999,522.082215583898,34700612
AFG,2017,18753456497.8159,18961769787.4548,525.469770891619,35688935
AFG,2018,18053222687.4126,18294513957.5523,491.337221382603,36743039
AFG,2019,18799444490.1128,19080662010.7479,496.6025042585,37856121
AFG,2020,19955929052.1496,20105156769.1907,510.787063366811,39068979
AFG,2021,14259995441.0759,14346089107.5906,356.496214115892,40000412
AFG,2022,14497243872.1337,14540297386.1968,357.261152798144,40578842
AFG,2023,17152234636.8715,17234567719.6546,413.757894705303,41454761
AFW,2000,142140075688.035,NA,516.932316255791,274968446
AFW,2001,150058483260.659,NA,530.653167771193,282780717
AFW,2002,179390065281.314,NA,616.796032637998,290841795
AFW,2003,207754986323.249,NA,694.500937581338,299142845
AFW,2004,258566656910.949,NA,840.252085094615,307725100
AFW,2005,317096476047.265,NA,1001.60460688173,316588476
AFW,2006,402724221239.257,NA,1236.62812739554,325663158
AFW,2007,471537814858.507,NA,1407.64205786994,334984176
AFW,2008,575059454850.507,537376957721.199,1668.84108160758,344586109
AFW,2009,515474028936.376,481723870209.984,1454.72833143498,354343844
AFW,2010,606280114370.887,563973317050.984,1663.96693663873,364358270
AFW,2011,691187455140.185,641296940297.229,1844.1985949993,374790143
AFW,2012,748126849686.918,700729566797.371,1941.36955612659,385360349
AFW,2013,844202569830.553,791368163881.125,2131.66206746081,396030207
AFW,2014,903933677159.723,869914799831.856,2221.01066549765,406992047
AFW,2015,778022060796.81,756036875534.93,1860.72769393488,418127845
AFW,2016,700028171710.17,683987439660.877,1630.03944681121,429454743
AFW,2017,694051344215.045,672931816265.718,1574.23056047232,440882906
AFW,2018,777840407639.927,754254239440.517,1720.14027955102,452195915
AFW,2019,833288902800.025,810826037293.693,1798.34068458315,463365429
AFW,2020,797295175501.973,784169862083.79,1680.03933212698,474569351
AFW,2021,858114511231.434,833481910371.353,1765.9547879785,485920997
AFW,2022,893639944629.861,863433785008.288,1796.66863273368,497387180
AFW,2023,814728528754.188,783044906131.335,1599.39298291654,509398589
AGO,2000,9129594970.15301,7448734939.06306,563.733795571487,16194869
AGO,2001,8936079117.73136,7375089140.55224,533.586202412447,16747208
AGO,2002,15285592370.374,13650936249.8552,882.147847234303,17327699
AGO,2003,17812704586.4397,16086223620.71,992.698979254665,17943712
AGO,2004,23552057679.4994,21063493970.0469,1266.21086410236,18600423
AGO,2005,36970900883.8109,32940012222.6995,1916.46842218625,19291161
AGO,2006,52381025141.4268,46203157632.0507,2617.05196022633,20015279
AGO,2007,65266415494.2584,57667388175.1557,3141.0459797605,20778561
AGO,2008,88538665084.8634,74821117368.6838,4103.0669003635,21578655
AGO,2009,70307196181.6539,63484054938.5189,3136.64546955947,22414773
AGO,2010,83799474069.7315,75712612170.385,3597.34293216332,23294825
AGO,2011,111789747670.59,102092420981.586,4615.91059831778,24218352
AGO,2012,128052915766.343,117631162045.945,5086.02740086376,25177394
AGO,2013,132339109040.232,122755567485.072,5057.74787833163,26165620
AGO,2014,135966802586.713,127708790750.385,5005.9997412707,27160769
AGO,2015,90496420506.5957,85895384573.1888,3213.90261080059,28157798
AGO,2016,52761617225.9253,50010057163.2154,1807.95294072643,29183070
AGO,2017,73690154990.7312,69161228469.8929,2437.25971190821,30234839
AGO,2018,79450688259.3664,73313113234.0482,2538.59139143371,31297155
AGO,2019,70897962732.0277,64488157749.3216,2189.85571407618,32375632
AGO,2020,48501561203.5686,44145038180.9309,1449.92286669308,33451132
AGO,2021,66505129987.7235,61051288255.8458,1925.87466082167,34532429
AGO,2022,104399746853.401,96386998839.0889,2929.69445467272,35635029
AGO,2023,84875162197.0107,76811861843.3195,2309.53413042773,36749906
ALB,2000,3584570164.85195,3689222173.07372,1160.42047054038,3089027
ALB,2001,4059064033.13379,4185058644.71669,1326.41652388077,3060173
ALB,2002,4515003116.68036,4624119308.46162,1479.83884572006,3051010
ALB,2003,5801712040.48463,5952285931.80638,1908.69900687608,3039616
ALB,2004,7406645793.44038,7575939040.97181,2446.90949947798,3026939
ALB,2005,8256658249.8128,8418687429.19188,2741.72136549578,3011487
ALB,2006,9150528132.17633,9412746291.08843,3057.77257038113,2992547
ALB,2007,11116937869.8568,11414912597.6549,3743.05529896187,2970017
ALB,2008,13258506375.4518,13322942019.0123,4498.50486763601,2947314
ALB,2009,12335540656.1006,12143832417.4031,4213.65007574693,2927519
ALB,2010,12086545641.299,11967076163.795,4149.14469936847,2913021
ALB,2011,12973755874.5365,12978220497.9665,4465.70914328865,2905195
ALB,2012,12246499747.9714,12154401184.2324,4222.3470988913,2900401
ALB,2013,12796985886.1478,13017104309.1501,4420.23461988353,2895092
ALB,2014,13296322588.1684,13417705192.4535,4602.23051443229,2889104
ALB,2015,11470171826.9575,11605729212.8406,3981.72662261867,2880703
ALB,2016,11988668784.6628,12181255797.1686,4168.37544462548,2876101
ALB,2017,13258268435.6048,13290550120.6132,4614.0479692596,2873457
ALB,2018,15379508329.7568,15363144880.0786,5365.48880180298,2866376
ALB,2019,15585111614.0376,15383374390.0695,5460.4305086932,2854191
ALB,2020,15241455556.3737,14991621177.1744,5370.77749956875,2837849
ALB,2021,18032009220.4405,17782485809.5054,6413.28280828537,2811666
ALB,2022,19017244116.7203,18685946745.6367,6846.42669381643,2777689
ALB,2023,23547180412.3404,23246168340.2057,8575.17134637222,2745972
AND,2000,1432606188.69324,NA,21810.2487431414,65685
AND,2001,1548265808.05802,NA,23511.2951475737,65852
AND,2002,1764279824.29752,NA,26528.130158144,66506
AND,2003,2366941808.94404,NA,34063.5784034776,69486
AND,2004,2900245324.49221,NA,39021.1278101878,74325
AND,2005,3161084091.11674,NA,40829.801876968,77421
AND,2006,3459337986.88383,NA,43467.2109930745,79585
AND,2007,3957625367.21959,NA,48336.2283329823,81877
AND,2008,4102319399.02343,NA,49132.515707808,83495
AND,2009,3688976340.7549,NA,43975.0183668093,83888
AND,2010,3449925738.86069,NA,42746.8309526019,80706
AND,2011,3629133574.27783,NA,46657.1561173756,77783
AND,2012,3188652765.36184,NA,41500.5435791686,76834
AND,2013,3193512950.02419,NA,42470.3161159692,75194
AND,2014,3271685596.66321,NA,44369.659691379,73737
AND,2015,2789881258.50362,NA,38654.9347203095,72174
AND,2016,2896610479.73077,NA,40129.8192007698,72181
AND,2017,3000162081.11976,NA,40672.9943348258,73763
AND,2018,3218419896.9641,NA,42819.7745797624,75162
AND,2019,3155149347.80639,3462352923.13403,41257.8045846483,76474
AND,2020,2891001149.3611,3268595543.70399,37361.0900666982,77380
AND,2021,3324647529.381,3576595365.25519,42425.6996756291,78364
AND,2022,3380612573.32922,3525887959.23766,42414.0590092117,79705
AND,2023,3785067331.7625,3917942681.21579,46812.4484486309,80856
ARB,2000,763411636190.425,763939541678.242,2664.16579571488,286548096
ARB,2001,744728537853.62,744581822181.237,2536.711964719,293580252
ARB,2002,746649261275.272,739788697408.974,2483.10723424941,300691509
ARB,2003,830076468636.6,819769186283.7,2696.67230474801,307815105
ARB,2004,987316008401.59,981197064352.541,3133.73687664723,315060277
ARB,2005,1210080439500.3,1203395855922.85,3750.69351679806,322628451
ARB,2006,1439471041382.97,1447216346844.82,4355.08762186879,330526310
ARB,2007,1674641032780.09,1691769733389.33,4940.70226511719,338947976
ARB,2008,2118071078804.52,2126265509829.13,6091.93206445673,347684619
ARB,2009,1829849574764.63,1827413724951.6,5134.45006055159,356386673
ARB,2010,2155345288815.19,2143136830525.07,5928.30535993301,363568534
ARB,2011,2565019402570,2546909980778.62,6894.19536785393,372054934
ARB,2012,2805384177334.91,2802029733396.52,7362.6299087983,381030177
ARB,2013,2874275588328.11,2873742846666.15,7351.94811264419,390954281
ARB,2014,2926204954050.54,2929740618668.1,7311.28996894348,400231008
ARB,2015,2568631130655.53,2581899298397.26,6262.04168490023,410190679
ARB,2016,2524102874214.64,2539227284441.66,6012.51244365971,419808341
ARB,2017,2598475460609.57,2615316129842.8,6066.72679100575,428315886
ARB,2018,2907329557076.05,2908410455837.52,6668.2167280195,435998060
ARB,2019,2949355029586.25,2948859935290.88,6638.48541455372,444281315
ARB,2020,2596422612311.05,2591763651872.83,5722.48099531674,453723239
ARB,2021,3077906530882.01,3079148637670.3,6681.70895180141,460646603
ARB,2022,3738584480489.16,3729703174314.52,7931.61789279006,471352066
ARB,2023,3606002342262.32,3614559123936.86,7479.68809103279,482105978
ARE,2000,104337372362.151,109429271613.342,29865.502347066,3493575
ARE,2001,103311640571.818,108376310415.248,27745.1708087672,3723590
ARE,2002,109816201497.617,110737372362.151,27753.6089526346,3956826
ARE,2003,124346358066.712,124291899251.191,29659.5428567811,4192457
ARE,2004,147824370319.946,148532334921.715,33376.7152295209,4428967
ARE,2005,180617467964.602,183503880190.606,38719.3138307623,4664790
ARE,2006,222116541865.214,226854458815.521,44342.6048322482,5009100
ARE,2007,257916133424.098,266289176310.415,45854.7325158162,5624635
ARE,2008,315474615738.598,319278420694.35,50054.1700681803,6302664
ARE,2009,253547358747.447,256161470388.019,37803.0663738777,6707058
ARE,2010,300189052688.904,300105186113.002,43696.6712590463,6869838
ARE,2011,360832739550.715,360968069707.284,50789.050540755,7104538
ARE,2012,384610125391.423,384909648876.787,52034.4762476071,7391448
ARE,2013,400218529748.128,400681429680.054,52023.5170959441,7693031
ARE,2014,414105366752.893,414764318420.694,51381.4069901746,8059440
ARE,2015,370275469571.137,372018151667.801,43534.9972694631,8505237
ARE,2016,369255326235.534,371351990633.084,41326.4018161569,8935095
ARE,2017,390516804029.952,393294203621.511,42340.5917160161,9223225
ARE,2018,427049432157.931,428473530183.799,45689.8570049401,9346701
ARE,2019,417989721742.682,420051262927.161,44251.4541398817,9445785
ARE,2020,349473015330.157,347594186194.69,37173.8754093066,9401038
ARE,2021,415178792756.978,414443598747.447,43360.0211001327,9575152
ARE,2022,502731935194.01,502786394009.53,49899.0652975197,10074977
ARE,2023,514130432648.06,517969779142.274,49040.6947521035,10483751
ARG,2000,284203750000,276655968900,7637.01489203628,37213984
ARG,2001,268696750000,260969968100,7141.47507662826,37624825
ARG,2002,97724004251.8602,92763789032.7018,2569.69963519124,38029349
ARG,2003,127586973492.177,122451951871.839,3320.47775133903,38424282
ARG,2004,164657930452.787,146361588317.154,4242.02099089422,38815916
ARG,2005,198737095012.282,176153368006.277,5067.65342293276,39216789
ARG,2006,232557260817.308,224897476611.227,5869.38028970204,39622115
ARG,2007,287530508430.568,279994211725.862,7185.25155147027,40016763
ARG,2008,361558037110.419,352615480862.974,8944.1102657357,40424148
ARG,2009,332976484577.619,322744327792.305,8150.23527028221,40854831
ARG,2010,423627422092.49,409192468872.686,10260.1313108254,41288694
ARG,2011,530158122010.442,515004538945.145,12704.2831819684,41730660
ARG,2012,545982375701.128,533073608485.977,12949.717486654,42161721
ARG,2013,552025140252.246,540185748561.537,12963.675773326,42582455
ARG,2014,526319673731.638,515532241212.846,12233.1444119186,43024071
ARG,2015,594749285413.212,583615452086.538,13679.6264980954,43477012
ARG,2016,557532320662.955,545251641127.714,12699.9623137756,43900313
ARG,2017,643628393281.364,627200463933.824,14532.5009308511,44288894
ARG,2018,524819892360.176,506094045059.703,11752.7998922979,44654882
ARG,2019,447754683615.225,430166792070.565,9955.97478680428,44973465
ARG,2020,385740508436.965,375344057341.93,8535.59938004389,45191965
ARG,2021,486564085480.036,476802271007.631,10738.0179223384,45312281
ARG,2022,632790070063.124,621165221747.635,13935.6811110049,45407904
ARG,2023,646075277525.125,632729881149.353,14187.4827252965,45538401
ARM,2000,1911563668.85006,1970535935.80291,593.450581742282,3221100
ARM,2001,2118467913.37873,2182070540.84243,659.588988535629,3211800
ARM,2002,2376335048.39976,2458706347.955,742.651118319819,3199800
ARM,2003,2807061008.69084,2899936467.50868,882.030167695474,3182500
ARM,2004,3576615240.41616,3724967487.29965,1130.08791444158,3164900
ARM,2005,4900469511.10191,5106475890.47117,1557.48458908655,3146400
ARM,2006,6384452066.5146,6686478968.61547,2041.65267068997,3127100
ARM,2007,9206301269.79164,9703722072.8786,2962.70234594569,3107400
ARM,2008,11662040713.8753,12353321001.708,3777.66859313767,3087100
ARM,2009,8647937081.2562,9006718596.46194,2820.5926553347,3066000
ARM,2010,9260285755.62424,9718566996.01031,3041.34450723339,3044800
ARM,2011,10142111824.5835,10502185416.5704,3349.55309771906,3027900
ARM,2012,10619320682.9474,11042356845.1045,3511.56399687426,3024100
ARM,2013,11121464437.0415,11804011412.1342,3680.16692158886,3022000
ARM,2014,11609513246.7958,12131729269.7992,3852.11800610384,3013800
ARM,2015,10553337518.414,10981745035.9775,3512.39350276709,3004600
ARM,2016,10546136235.5219,10791195836.7939,3524.42476874707,2992300
ARM,2017,11527458709.0158,11933013892.6253,3869.05373867752,2979400
ARM,2018,12457940694.7395,12658281183.7745,4196.00562301769,2969000
ARM,2019,13619290539.2116,13807148386.5538,4597.22887399548,2962500
ARM,2020,12641698583.2152,12439008672.029,4268.68093304583,2961500
ARM,2021,13878908628.9378,13479935696.4488,4685.17997128509,2962300
ARM,2022,19513506553.1251,18991671827.7595,6571.97445545099,2969200
ARM,2023,24085749592.3359,23434106610.7827,8125.27395754003,2964300
ASM,2000,NA,NA,NA,56855
ASM,2001,NA,NA,NA,57053
ASM,2002,512000000,NA,8972.69636535698,57062
ASM,2003,524000000,NA,9197.66196836987,56971
ASM,2004,509000000,NA,8958.42866697173,56818
ASM,2005,500000000,NA,8831.26975996609,56617
ASM,2006,493000000,NA,8745.16621137404,56374
ASM,2007,518000000,NA,9231.37240924563,56113
ASM,2008,560000000,NA,10030.8089130902,55828
ASM,2009,675000000,NA,12156.0293905777,55528
ASM,2010,573000000,NA,10375.1720141957,55228
ASM,2011,570000000,NA,10383.459331451,54895
ASM,2012,640000000,NA,11745.4899153958,54489
ASM,2013,638000000,NA,11813.5022034589,54006
ASM,2014,643000000,NA,12026.3344929488,53466
ASM,2015,673000000,NA,12727.4102651386,52878
ASM,2016,671000000,NA,12843.3342903627,52245
ASM,2017,612000000,NA,11863.6839452565,51586
ASM,2018,639000000,NA,12552.0546868861,50908
ASM,2019,647000000,NA,12886.1359517218,50209
ASM,2020,721000000,NA,14489.2586563775,49761
ASM,2021,750000000,NA,15236.1604875571,49225
ASM,2022,871000000,NA,18017.4589383973,48342
ASM,2023,NA,NA,NA,47521
ATG,2000,901003703.703704,856484814.814815,12027.4949768222,74912
ATG,2001,877774074.074074,825933333.333333,11539.1825063308,76069
ATG,2002,898092592.592592,847859259.259259,11658.6949915956,77032
ATG,2003,948100000,894440740.740741,12173.2319860305,77884
ATG,2004,1026329629.62963,968059259.259259,13037.8895772257,78719
ATG,2005,1143896296.2963,1088925925.92593,14368.5708796058,79611
ATG,2006,1303674074.07407,1240422222.22222,16173.8136329968,80604
ATG,2007,1487381481.48148,1414159259.25926,18204.5124043068,81704
ATG,2008,1557640740.74074,1485062962.96296,18786.6743142216,82912
ATG,2009,1386518518.51852,1318488888.88889,16472.2478528568,84173
ATG,2010,1298348148.14815,1230762962.96296,15217.3950790922,85320
ATG,2011,1287359259.25926,1217077777.77778,14911.7275084471,86332
ATG,2012,1364729629.62963,1277966666.66667,15639.8078114787,87260
ATG,2013,1325496296.2963,1255181481.48148,15051.5113587425,88064
ATG,2014,1378707407.40741,1317974074.07407,15532.1062063584,88765
ATG,2015,1437485185.18519,1352948148.14815,16077.6340769406,89409
ATG,2016,1489603703.7037,1392200000,16556.8551801588,89969
ATG,2017,1534855555.55556,1458703703.7037,16965.7288273816,90468
ATG,2018,1661529629.62963,1584474074.07407,18273.4270684912,90926
ATG,2019,1726448148.14815,1654751851.85185,18896.3721832248,91364
ATG,2020,1411637037.03704,1405837037.03704,15369.6082250401,91846
ATG,2021,1602125925.92593,1547107407.40741,17348.6006987182,92349
ATG,2022,1866566666.66667,1776303703.7037,20105.1989085164,92840
ATG,2023,2005785185.18518,1912800000,21494.5474000727,93316
AUS,2000,416167815092.908,404177792961.734,21870.4159669594,19028802
AUS,2001,379629301675.108,369008405056.987,19695.7297379144,19274701
AUS,2002,395788696012.059,385061088708.517,20301.8431713256,19495210
AUS,2003,467739079790.332,454588817705.3,23718.1338501868,19720737
AUS,2004,614659980082.515,597177407881.633,30836.7306824685,19932722
AUS,2005,695692898676.56,669932230528.963,34479.7679298388,20176844
AUS,2006,748417562769.636,719357920571.909,36595.7071548423,20450966
AUS,2007,855007458585.224,816938839601.162,41051.6120652288,20827622
AUS,2008,1056112427190.38,1012948608447.62,49701.2817843335,21249199
AUS,2009,928762122698.05,896122503673.991,42816.5674002829,21691653
AUS,2010,1148838233480.72,1104203146194.09,52144.6654705468,22031750
AUS,2011,1398610616772.97,1342423020459.19,62605.600458306,22340024
AUS,2012,1547532281116.4,1500404222891.8,68072.8732340801,22733465
AUS,2013,1577123329410.88,1537801711446.54,68190.7010035651,23128129
AUS,2014,1468265356427.76,1429834007640,62544.0873773726,23475686
AUS,2015,1351296372254.31,1323697450186.41,56739.0265346593,23815995
AUS,2016,1206836962281.84,1178195299351.86,49888.0410842736,24190907
AUS,2017,1325582658156.54,1289235106327.62,53901.7145392154,24592588
AUS,2018,1427809041019.44,1382739590115.65,57196.4220783778,24963258
AUS,2019,1392723834562.64,1345853874492.3,54972.7017885437,25334826
AUS,2020,1328414058378.38,1298368829650.52,51791.540179984,25649248
AUS,2021,1556735770437.26,1539273615554.95,60607.7788605166,25685412
AUS,2022,1690858246994.43,1626539969365.68,64997.0136536475,26014399
AUS,2023,1728057316695.61,1653703105439.57,64835.9199754535,26652777
AUT,2000,196181599831.287,194463389552.157,24487.2974685956,8011566
AUT,2001,196477206829.33,193775896820,24430.495982841,8042293
AUT,2002,212837224022.813,211593301929.883,26334.862215032,8081957
AUT,2003,260779834340.097,260120851968.117,32110.1159661425,8121423
AUT,2004,299210411454.823,298795038885.947,36614.2506533707,8171966
AUT,2005,313952317330.776,313283080118.288,38157.37022862,8227829
AUT,2006,333905979332.481,334691543480.823,40382.2078298575,8268641
AUT,2007,386760177589.497,386367909771.766,46622.9622913635,8295487
AUT,2008,429234399096.173,432837598506.797,51581.3982361071,8321496
AUT,2009,399290118782.429,399116013671.836,47857.4446635266,8343323
AUT,2010,389827789217.634,393109195156.667,46611.1393420232,8363404
AUT,2011,428954737064.057,430410938011.674,51116.8953522042,8391643
AUT,2012,406750487603.59,407165076060.117,48250.4059142637,8429991
AUT,2013,426580502769.417,427714570810.04,50305.3545774973,8479823
AUT,2014,438556021078.034,439031381243.175,51314.9722616322,8546356
AUT,2015,379546097300.633,375674518639.57,43915.228020857,8642699
AUT,2016,393687359770.273,393518778426.188,45061.4993920192,8736668
AUT,2017,414926138132.691,410993827536.471,47163.7425775142,8797566
AUT,2018,452582294972.775,447902034078.745,51194.0749841299,8840521
AUT,2019,442983642371.842,441977716161.568,49885.9947355204,8879920
AUT,2020,434397601557.696,439178173138.211,48716.4098900349,8916864
AUT,2021,480467037338.783,488391794817.046,53648.7190742245,8955797
AUT,2022,471773629830.381,473895475449.029,52176.6649141178,9041851
AUT,2023,511685203845.001,511893328592.95,56033.573792065,9131761
AZE,2000,5272615722.96892,5178072731.05201,655.097249579917,8048600
AZE,2001,5707616203.72011,5562874939.46744,703.670998584686,8111200
AZE,2002,6236087738.28284,6042087549.01436,763.108895463487,8171950
AZE,2003,7276413079.11451,7024617521.22393,883.692580745256,8234100
AZE,2004,8680405740.94125,8166818629.5660105,1045.0136328106,8306500
AZE,2005,13245421880.834,11734666354.9889,1578.36733030667,8391850
AZE,2006,20981929497.6188,18470079299.789,2472.95725732287,8484550
AZE,2007,33049419431.2244,28219348252.7001,3851.33015175141,8581300
AZE,2008,48851293785.4483,43831089798.2035,5574.46810432575,8763400
AZE,2009,44292427184.9492,41022888018.2835,4950.39949009423,8947243
AZE,2010,52909294791.9262,49741091452.7785,5843.5337683582,9054332
AZE,2011,65952796427.9473,61441003132.8908,7189.81869211976,9173082
AZE,2012,69679944504.1972,65735414850.2186,7495.86527658099,9295784
AZE,2013,74160560123.6902,70472288892.4862,7875.34536661549,9416801
AZE,2014,75239785452.1022,73082959455.4451,7890.84028062087,9535079
AZE,2015,53076235354.746,51379123217.2905,5500.50364628486,9649341
AZE,2016,37866996882.9157,35591412539.2769,3880.6852276838,9757812
AZE,2017,40866627351.9817,39321618331.876,4147.1981423222,9854033
AZE,2018,47112470051.7701,44853080880.9559,4739.7943123408,9939771
AZE,2019,48174235294.1176,46318529411.7647,4805.75371765917,10024283
AZE,2020,42693000000,42422882352.9412,4229.91064904503,10093121
AZE,2021,54825411764.7059,53687352941.1765,5408.04535175023,10137750
AZE,2022,78807470588.2353,73522647058.8235,7770.594223351,10141756
AZE,2023,72428470588.2353,69347647058.8235,7133.02838048328,10153958
BDI,2000,870486065.883137,884786065.883137,134.537861752389,6470194
BDI,2001,876794723.068586,864477157.825014,132.159554541932,6634365
BDI,2002,825394519.423728,811709106.906995,120.952308575468,6824132
BDI,2003,784654423.620476,766758030.795662,111.406682804391,7043154
BDI,2004,915257323.3961,887956197.145997,125.194965184533,7310656
BDI,2005,1117113079.73645,1099326369.19285,147.234619294225,7587299
BDI,2006,1273375078.44844,1264550109.90148,161.892755640319,7865547
BDI,2007,1356199387.42308,1350312449.18461,166.162744906755,8161874
BDI,2008,1611835857.04588,1607531530.94505,189.502074570768,8505637
BDI,2009,1781455139.85931,1764475743.23131,199.097633037708,8947646
BDI,2010,2032135192.01248,2021267251.23096,216.727705301976,9376444
BDI,2011,2235820809.32006,2218331580.56321,230.070577369084,9717978
BDI,2012,2333341334.45753,2326835709.91274,231.688496393569,10071028
BDI,2013,2451606632.29246,2453391158.27712,234.843045388828,10439341
BDI,2014,2705783329.80483,2698322225.8552,250.540481111877,10799785
BDI,2015,3104003546.26497,3104359892.4664,280.966831311923,11047580
BDI,2016,2644487776.50077,2643216720.51299,235.286205393908,11239451
BDI,2017,2723586962.84034,2725061087.87066,236.694472592753,11506762
BDI,2018,2667182199.51333,2672837528.12331,224.89939239264,11859446
BDI,2019,2576518879.82353,2583934017.97374,210.236494521532,12255336
BDI,2020,2649680261.44299,2664225062.41347,210.008139902508,12617036
BDI,2021,2775798697.46022,2783915268.94475,214.091455416133,12965481
BDI,2022,3338722827.65691,3352709390.52411,250.634225368744,13321097
BDI,2023,2629391599.50157,2647964583.69545,192.074305359351,13689450
BEL,2000,236792460312.471,242895045507.608,23098.8865077401,10251250
BEL,2001,236746141604.37,241174671366.339,23015.0712632462,10286570
BEL,2002,258383599375.177,262848882179.059,25006.191397109,10332785
BEL,2003,318082528506.588,324156068000.195,30655.2092679024,10376133
BEL,2004,369214712443.206,374341455841.082,35429.4077933344,10421137
BEL,2005,385714762230.039,390533497082.023,36809.7013403619,10478617
BEL,2006,408259840868.823,414131146527.529,38705.1067959147,10547958
BEL,2007,470922156309.453,477472767241.296,44319.165448813,10625700
BEL,2008,517328087920.078,529910842181.875,48303.397956286,10709973
BEL,2009,485014525992.461,494515923328.515,44923.3400135081,10796493
BEL,2010,481556503720.001,488893682611.668,44197.393671162,10895586
BEL,2011,527196649048.639,528029734267.511,47760.8298776546,11038264
BEL,2012,498414364944.961,509666801090.977,44874.1709182123,11106932
BEL,2013,524097026598.55,536136947871.256,46964.5946777056,11159407
BEL,2014,537987419164.351,548902514458.351,47995.7786961339,11209057
BEL,2015,461044767544.531,467533864636.64,40893.804537772,11274196
